userId1,userId2,estimated_jaccard,user1_ratings,user2_ratings
19947.0,139527,1.0,1049,1050
41157.0,134345,1.0,64,65
137812.0,181530,1.0,419,419
77647.0,294432,1.0,3280,3273
38929.0,322547,1.0,70,70
167541.0,173768,0.9921875,56,55
242889.0,271504,0.9921875,135,136
25084.0,294432,0.984375,3224,3273
25084.0,77647,0.984375,3224,3280
41012.0,300048,0.984375,389,394
84354.0,99176,0.984375,70,69
71607.0,307748,0.984375,200,198
25084.0,86967,0.984375,3224,3263
9890.0,134345,0.984375,64,65
9890.0,41157,0.984375,64,64
67893.0,189763,0.984375,79,80
60944.0,311877,0.9765625,285,291
20860.0,189763,0.9765625,80,80
119099.0,194288,0.9765625,155,166
9890.0,50336,0.9765625,64,63
242906.0,290377,0.9765625,67,70
103228.0,180562,0.96875,60,58
198214.0,289867,0.96875,64,62
198214.0,275979,0.96875,64,63
86967.0,294432,0.96875,3263,3273
106707.0,198214,0.96875,67,64
62868.0,134061,0.96875,57,54
30254.0,292994,0.96875,302,300
77647.0,86967,0.96875,3280,3263
259490.0,315961,0.96875,85,82
212802.0,263838,0.96875,51,55
20860.0,67893,0.9609375,80,79
83880.0,261244,0.9609375,3066,3212
20860.0,278152,0.9609375,80,75
41157.0,50336,0.9609375,64,63
4989.0,288655,0.9609375,56,54
47902.0,94671,0.9609375,90,88
143514.0,261096,0.9609375,162,158
50336.0,134345,0.9609375,63,65
155094.0,189763,0.9609375,76,80
112474.0,241351,0.9609375,538,528
134572.0,198214,0.953125,62,64
81527.0,123851,0.953125,94,100
134345.0,290377,0.953125,65,70
20860.0,112294,0.953125,80,75
20860.0,39534,0.953125,80,79
273826.0,278152,0.953125,74,75
81745.0,106707,0.953125,70,67
46734.0,135003,0.953125,2282,2199
159358.0,198214,0.953125,63,64
73177.0,154923,0.953125,53,54
41157.0,290377,0.953125,64,70
67893.0,278152,0.953125,79,75
81745.0,198214,0.953125,70,64
65621.0,263838,0.953125,54,55
39534.0,189763,0.953125,79,80
98555.0,304729,0.9453125,55,58
112294.0,189763,0.9453125,75,80
135882.0,288844,0.9453125,70,74
83880.0,86967,0.9453125,3066,3263
98839.0,136037,0.9453125,54,59
98839.0,134061,0.9453125,54,54
134061.0,136037,0.9453125,54,59
189763.0,206872,0.9453125,80,84
66348.0,134345,0.9453125,60,65
41157.0,66348,0.9453125,64,60
41157.0,74091,0.9453125,64,57
9890.0,242906,0.9453125,64,67
11487.0,62855,0.9453125,60,58
122890.0,134345,0.9453125,64,65
8746.0,286001,0.9453125,133,135
41157.0,122890,0.9453125,64,64
134631.0,223888,0.9453125,2198,2340
155094.0,206872,0.9453125,76,84
67893.0,155094,0.9453125,79,76
68753.0,174216,0.9453125,520,500
92747.0,189763,0.9453125,76,80
86458.0,242505,0.9453125,52,55
44343.0,198214,0.9453125,61,64
50336.0,66348,0.9453125,63,60
74091.0,134345,0.9453125,57,65
76755.0,103216,0.9453125,386,398
147443.0,167839,0.9453125,59,56
26617.0,147443,0.9453125,57,59
31266.0,81745,0.9453125,65,70
44343.0,106707,0.9453125,61,67
81745.0,304728,0.9453125,70,68
7753.0,71778,0.9453125,109,108
40884.0,122168,0.9453125,52,52
174815.0,294432,0.9375,3389,3273
265793.0,294516,0.9375,99,93
66348.0,304729,0.9375,60,58
181179.0,275876,0.9375,101,104
234484.0,263838,0.9375,52,55
134345.0,287308,0.9375,65,58
39534.0,112294,0.9375,79,75
92747.0,155094,0.9375,76,76
39534.0,67893,0.9375,79,79
56575.0,123851,0.9375,90,100
9890.0,290377,0.9375,64,70
