userId1,userId2,estimated_jaccard,user1_ratings,user2_ratings
63309.0,168141,1.0,50,50
137812.0,181530,1.0,419,419
19947.0,139527,1.0,1049,1050
127960.0,195168,1.0,45,45
49647.0,63309,1.0,50,50
59869.0,63309,1.0,50,50
59869.0,168141,1.0,50,50
60252.0,329440,1.0,45,45
41157.0,134345,1.0,64,65
49647.0,59869,1.0,50,50
38929.0,322547,1.0,70,70
77647.0,294432,1.0,3280,3273
49647.0,168141,1.0,50,50
242889.0,271504,0.9921875,135,136
282.0,27226,0.9921875,45,44
278169.0,310906,0.9921875,49,50
167541.0,173768,0.9921875,56,55
67893.0,189763,0.984375,79,80
25084.0,86967,0.984375,3224,3263
25084.0,77647,0.984375,3224,3280
260734.0,262614,0.984375,50,51
25084.0,294432,0.984375,3224,3273
41012.0,300048,0.984375,389,394
9890.0,41157,0.984375,64,64
9890.0,134345,0.984375,64,65
84354.0,99176,0.984375,70,69
71607.0,307748,0.984375,200,198
49647.0,255658,0.9765625,50,49
197471.0,278169,0.9765625,46,49
20860.0,189763,0.9765625,80,80
63309.0,255658,0.9765625,50,49
119099.0,194288,0.9765625,155,166
63309.0,286014,0.9765625,50,49
63309.0,68284,0.9765625,50,49
9890.0,50336,0.9765625,64,63
68284.0,168141,0.9765625,49,50
59869.0,68284,0.9765625,50,49
49647.0,68284,0.9765625,50,49
59869.0,286014,0.9765625,50,49
168141.0,286014,0.9765625,50,49
59869.0,255658,0.9765625,50,49
168141.0,255658,0.9765625,50,49
49647.0,286014,0.9765625,50,49
242906.0,290377,0.9765625,67,70
60944.0,311877,0.9765625,285,291
212802.0,263838,0.96875,51,55
53278.0,193817,0.96875,51,49
198214.0,275979,0.96875,64,63
259490.0,315961,0.96875,85,82
62868.0,134061,0.96875,57,54
77647.0,86967,0.96875,3280,3263
117141.0,124614,0.96875,50,49
197471.0,310906,0.96875,46,50
86967.0,294432,0.96875,3263,3273
30254.0,292994,0.96875,302,300
106707.0,198214,0.96875,67,64
198214.0,289867,0.96875,64,62
103228.0,180562,0.96875,60,58
4989.0,288655,0.9609375,56,54
50336.0,134345,0.9609375,63,65
20860.0,278152,0.9609375,80,75
47902.0,94671,0.9609375,90,88
20860.0,67893,0.9609375,80,79
112474.0,241351,0.9609375,538,528
49647.0,63366,0.9609375,50,49
57536.0,251649,0.9609375,41,43
155094.0,189763,0.9609375,76,80
143514.0,261096,0.9609375,162,158
63309.0,63366,0.9609375,50,49
59869.0,63366,0.9609375,50,49
41157.0,50336,0.9609375,64,63
216913.0,310906,0.9609375,50,50
83880.0,261244,0.9609375,3066,3212
63366.0,168141,0.9609375,49,50
67893.0,278152,0.953125,79,75
49647.0,199922,0.953125,50,53
81745.0,198214,0.953125,70,64
63309.0,199922,0.953125,50,53
41157.0,290377,0.953125,64,70
39534.0,189763,0.953125,79,80
221128.0,280374,0.953125,42,45
159358.0,198214,0.953125,63,64
145727.0,258335,0.953125,42,44
59869.0,199922,0.953125,50,53
73177.0,154923,0.953125,53,54
168141.0,199922,0.953125,50,53
81527.0,123851,0.953125,94,100
134345.0,290377,0.953125,65,70
75918.0,103932,0.953125,43,47
216913.0,278169,0.953125,50,49
81745.0,106707,0.953125,70,67
68284.0,255658,0.953125,49,49
68284.0,286014,0.953125,49,49
46734.0,135003,0.953125,2282,2199
134572.0,198214,0.953125,62,64
255658.0,286014,0.953125,49,49
20860.0,112294,0.953125,80,75
20860.0,39534,0.953125,80,79
65621.0,263838,0.953125,54,55
273826.0,278152,0.953125,74,75
