userId1,userId2,estimated_jaccard,user1_ratings,user2_ratings
169575.0,305327,1.0,6,6
77609.0,254507,1.0,10,10
19955.0,118928,1.0,6,6
19955.0,35729,1.0,6,6
19955.0,269853,1.0,6,6
19955.0,98686,1.0,6,6
77609.0,284730,1.0,10,10
77609.0,86415,1.0,10,10
19955.0,173977,1.0,6,6
19955.0,241228,1.0,6,6
19955.0,157462,1.0,6,6
19955.0,156027,1.0,6,6
19955.0,223585,1.0,6,6
77609.0,79598,1.0,10,10
19955.0,204058,1.0,6,6
19955.0,127513,1.0,6,6
77609.0,178146,1.0,10,10
19955.0,147287,1.0,6,6
19955.0,143452,1.0,6,6
19955.0,199530,1.0,6,6
19955.0,319456,1.0,6,6
19955.0,181110,1.0,6,6
77609.0,277178,1.0,10,10
77609.0,124526,1.0,10,10
19955.0,266989,1.0,6,6
77609.0,123119,1.0,10,10
19955.0,154492,1.0,6,6
19955.0,169575,1.0,6,6
19955.0,187822,1.0,6,6
19955.0,77272,1.0,6,6
19955.0,79355,1.0,6,6
77609.0,171444,1.0,10,10
19955.0,173448,1.0,6,6
19955.0,322893,1.0,6,6
19955.0,270339,1.0,6,6
19955.0,75309,1.0,6,6
77609.0,148904,1.0,10,10
19955.0,178703,1.0,6,6
77609.0,187880,1.0,10,10
77609.0,214123,1.0,10,10
77609.0,318044,1.0,10,10
19955.0,152849,1.0,6,6
19955.0,105060,1.0,6,6
19955.0,46687,1.0,6,6
19955.0,112774,1.0,6,6
77609.0,224779,1.0,10,10
19955.0,288245,1.0,6,6
19955.0,31199,1.0,6,6
77609.0,123850,1.0,10,10
77609.0,94323,1.0,10,10
19955.0,303470,1.0,6,6
77609.0,81925,1.0,10,10
19955.0,31036,1.0,6,6
19955.0,41037,1.0,6,6
19955.0,155859,1.0,6,6
19955.0,297430,1.0,6,6
19955.0,21045,1.0,6,6
19955.0,96382,1.0,6,6
19955.0,214095,1.0,6,6
77609.0,257789,1.0,10,10
19955.0,47749,1.0,6,6
19955.0,276454,1.0,6,6
19955.0,109906,1.0,6,6
77609.0,267809,1.0,10,10
77609.0,174438,1.0,10,10
77609.0,166397,1.0,10,10
19955.0,269153,1.0,6,6
77609.0,320760,1.0,10,10
77609.0,302791,1.0,10,10
77609.0,158896,1.0,10,10
77609.0,181427,1.0,10,10
77609.0,167982,1.0,10,10
19955.0,165497,1.0,6,6
19955.0,279512,1.0,6,6
77609.0,79181,1.0,10,10
19955.0,129257,1.0,6,6
19955.0,305327,1.0,6,6
19955.0,100182,1.0,6,6
77609.0,228812,1.0,10,10
77609.0,246448,1.0,10,10
19955.0,92389,1.0,6,6
19955.0,48585,1.0,6,6
77609.0,90379,1.0,10,10
77609.0,247538,1.0,10,10
19955.0,300126,1.0,6,6
19955.0,255254,1.0,6,6
19955.0,180749,1.0,6,6
19955.0,269334,1.0,6,6
19955.0,32311,1.0,6,6
19955.0,261764,1.0,6,6
19955.0,211208,1.0,6,6
19955.0,139898,1.0,6,6
77609.0,236077,1.0,10,10
19955.0,111989,1.0,6,6
77609.0,220883,1.0,10,10
19955.0,191725,1.0,6,6
19955.0,165433,1.0,6,6
19955.0,70915,1.0,6,6
19955.0,36029,1.0,6,6
19955.0,56874,1.0,6,6
