userId1,userId2,estimated_jaccard,user1_ratings,user2_ratings
115422.0,224200,1.0,30,30
49138.0,81265,1.0,25,25
186581.0,219580,1.0,30,30
238785.0,293174,1.0,24,24
71302.0,147789,1.0,30,30
71302.0,279965,1.0,30,30
137812.0,181530,1.0,419,419
49138.0,124266,1.0,25,25
85653.0,95175,1.0,25,25
49138.0,291625,1.0,25,25
77647.0,294432,1.0,3280,3273
2379.0,83065,1.0,25,25
198462.0,263013,1.0,40,40
49651.0,291625,1.0,25,25
49138.0,95175,1.0,25,25
95175.0,291625,1.0,25,25
70108.0,96548,1.0,30,30
95175.0,124266,1.0,25,25
49138.0,85653,1.0,25,25
49651.0,124266,1.0,25,25
19947.0,139527,1.0,1049,1050
49651.0,81265,1.0,25,25
95175.0,224936,1.0,25,25
71302.0,115422,1.0,30,30
64872.0,195935,1.0,30,30
64872.0,319748,1.0,30,30
64872.0,293880,1.0,30,30
64872.0,187276,1.0,30,30
107031.0,263013,1.0,40,40
177837.0,183123,1.0,25,25
2379.0,249077,1.0,25,25
85653.0,291625,1.0,25,25
186581.0,261572,1.0,30,30
224936.0,291625,1.0,25,25
85653.0,124266,1.0,25,25
224200.0,279965,1.0,30,30
219580.0,261572,1.0,30,30
187276.0,195935,1.0,30,30
85584.0,138705,1.0,39,39
187276.0,319748,1.0,30,30
187276.0,293880,1.0,30,30
85584.0,238207,1.0,39,39
83065.0,183123,1.0,25,25
107031.0,198462,1.0,40,40
49138.0,49651,1.0,25,25
76769.0,186581,1.0,30,30
49138.0,224936,1.0,25,25
124266.0,224936,1.0,25,25
76769.0,219580,1.0,30,30
76769.0,261572,1.0,30,30
2379.0,177837,1.0,25,25
248461.0,266708,1.0,35,35
49651.0,85653,1.0,25,25
136065.0,322263,1.0,22,22
83065.0,177837,1.0,25,25
85653.0,224936,1.0,25,25
13012.0,56180,1.0,30,30
71302.0,224200,1.0,30,30
13012.0,264494,1.0,30,30
13012.0,266605,1.0,30,30
49651.0,95175,1.0,25,25
32448.0,259106,1.0,29,29
183123.0,249077,1.0,25,25
83065.0,249077,1.0,25,25
40479.0,198462,1.0,40,40
124266.0,291625,1.0,25,25
56180.0,266605,1.0,30,30
59869.0,168141,1.0,50,50
177837.0,249077,1.0,25,25
41157.0,134345,1.0,64,65
82915.0,99030,1.0,29,29
164677.0,248461,1.0,35,35
49647.0,168141,1.0,50,50
125637.0,204124,1.0,25,25
59869.0,63309,1.0,50,50
164677.0,266708,1.0,35,35
81265.0,224936,1.0,25,25
177321.0,314085,1.0,25,25
293880.0,319748,1.0,30,30
147789.0,224200,1.0,30,30
13195.0,159313,1.0,24,24
263035.0,304933,1.0,25,25
81265.0,124266,1.0,25,25
60252.0,329440,1.0,45,45
81265.0,291625,1.0,25,25
81265.0,95175,1.0,25,25
81265.0,85653,1.0,25,25
147789.0,279965,1.0,30,30
177321.0,305904,1.0,25,25
49647.0,63309,1.0,50,50
3436.0,184423,1.0,29,29
195935.0,293880,1.0,30,30
195935.0,319748,1.0,30,30
305904.0,314085,1.0,25,25
49651.0,224936,1.0,25,25
115422.0,279965,1.0,30,30
238288.0,265718,1.0,34,34
115422.0,147789,1.0,30,30
127960.0,195168,1.0,45,45
264494.0,266605,1.0,30,30
